sec	p0	p1	p2	mag
3338000827.51	648004.1603	1752554.3566	8340	2.23
3338000782.08	648189.3973	1751522.9255	6030	2.45
3337990339.45	648193.7053	1751551.8323	4185.791	2.01
3337972760.51	649374.0271	1753245.7774	2680	2.27
3337972654.62	647951.9282	1751963.6098	3559.57	1.97
3337888848.7	647680.3197	1753981.0969	12972.656	1.92
3337880775.6	644992.7586	1757207.7729	5965.576	2.02
3337816564.24	648860.9822	1758475.8121	11601.562	1.45
3337811745.64	646831.4684	1759619.0933	7976.074	2.27
3337776141.99	655213.2082	1746419.2183	12886.963	1.88
3337712555.22	651363.0424	1744301.9421	15873.047	1.77
3337656857.87	643864.3827	1763425.8932	50	0.37
3337622626.14	663411.7565	1740908.7249	2010.498	2.35
3337580148.95	645111.6321	1767929.1526	-1539.062	0.96
3337566814.09	651008.2692	1768335.7303	304.688	0.86
3337556895.58	652680.4241	1766318.3964	11828.125	0.73
3337510307.68	647096.0789	1753446.1644	6789.551	1.89
3337372523.83	655116.4789	1743658.3348	12220	2.82
3337333538.84	646556.3442	1754407.1248	7349.854	1.99
3337306559.6	643884.7922	1750225.6575	65.918	1.83
3337230028.34	658291.2765	1739962.5619	9689.941	2.32
3337228909.79	649056.7334	1751640.7446	8173.828	1.93
3337225708.9	658213.5218	1750878.9982	2966.309	2.04
3337207776.13	650220.3957	1749470.9784	5860	2.05
3337191905.53	656247.9938	1737852.9195	2966.309	2.51
3337172212.47	655666.0891	1747332.2002	7316.895	2.1
3337122602.31	647619.4437	1749618.0746	1614.99	2.33
3337078797.96	643098.2879	1754878.7162	3635.986	1.8
3337077385.1	654743.6927	1740075.2327	2010.498	2.05
3337042041.38	645644.4487	1758590.634	9195.557	1.83
3336971412.52	658451.6669	1745835.7187	13875.732	2.52
3336867069.96	648775.4349	1752438.1841	7349.854	2.37
3336841293.06	650433.3418	1749279.7661	9558.105	2.02
3336648026.2	647574.1883	1753394.422	7119.141	2.16
3336637237.82	648436.3254	1751029.8597	10217.285	2.01
3336612875.96	647149.3924	1753694.5798	8206.787	2.06
3336526225.38	655030.4437	1743688.7253	13117.676	2.47
3336471471.24	657945.5813	1749801.9332	32.959	2.97
3336328268.25	660997.2757	1728926.6614	10975.342	1.83
3336328171.31	660776.7318	1728925.1042	9854.736	2.96
3336304429.66	659980.1607	1729829.2496	2043.457	2.28
3336271211.24	647032.7453	1752012.235	12062.988	2.47
3336191034.23	657661.2701	1747493.3454	10480	1.34
3336164342.54	658739.0643	1728607.4215	7844.238	2.66
3336012367.16	655057.8731	1739829.4226	7316.895	2.42
3336010304.09	658105.6123	1740138.3021	14190	2.35
3336009256.46	653036.1083	1739870.2123	7514.648	2.21
3336002597.16	654911.6013	1739718.1059	9162.598	2.5
3335965520	658279.8458	1749308.1293	32.959	2.63
3335955186.64	649631.2184	1750955.681	6822.51	2.74
3335954264.24	650933.7493	1751268.1113	3889.16	1.97
