sec	lat	lon	z	mag
3335126291.21	15.851618	-61.642726	329.59	1.59
3335071319.31	15.876528	-61.64892	2043.457	0.83
3334986032.05	15.77341	-61.598424	11601.562	1.85
3334959435.47	15.923409	-61.549407	15095.215	1.94
3334945097.95	15.82472	-61.626925	5471.191	1.97
3334933606.29	15.770936	-61.537709	14172.363	1.83
3334892956.33	15.827184	-61.668443	6591.797	1.7
3334891816.82	15.895704	-61.615058	2847.656	1.66
3334828388.2	15.837085	-61.741193	5273.438	1.57
3334808453.09	15.823708	-61.651628	5998.535	1.43
3334749102.59	15.742031	-61.554852	7448.73	2.61
3334634749.29	15.734804	-61.562224	12161.865	2.63
3334621265.5	15.829693	-61.643398	2020.996	1.67
3334609537.48	15.844145	-61.640319	9469.727	1.73
3334561132.37	15.780652	-61.540283	12689.209	2.07
3334552046.79	15.626158	-61.453288	12023.438	1.17
3334529505.29	15.96022	-61.504401	7541.016	2.12
3334508023.34	15.837	-61.696333	13800	2.33
3334444914.47	15.777912	-61.541141	12699.707	2
3334438831.79	15.828	-61.627833	7230	2.63
3334407948.88	15.604996	-61.448222	4877.93	1.51
3334344172.56	15.845167	-61.621	4230	2.28
3334341920.33	15.738833	-61.499	11500	2.41
3334317933.8	15.816741	-61.637213	3625.488	2.21
3334315586.56	15.84715	-61.613556	791.016	1.74
3334314439.23	15.814258	-61.622459	5141.602	1.75
3334313283.59	15.849891	-61.612014	801.514	1.79
3334313262.22	15.838924	-61.621272	2274.17	1.6
3334311439.54	15.836182	-61.623844	2504.883	2.09
3334306078.52	15.5725	-61.696167	84000	3.27
3334303451.59	15.834187	-61.626588	3141.602	1.49
3334302924.87	15.836181	-61.625217	2504.883	1.14
3334302633	15.824223	-61.623837	4086.914	1.79
3334302627.84	15.861852	-61.608245	98.877	1.37
3334302572.18	15.960231	-61.574843	6275.391	2.04
3334302387.41	15.839919	-61.623675	2669.678	1.74
3334225428.6	15.929128	-61.588026	14666.748	2.45
3334223958.82	15.806333	-61.520167	12940	1.18
3334213134.16	15.777665	-61.522788	14337.158	2.73
3334197953.92	15.88724	-61.650129	3504.15	1.37
3334194841.77	15.828233	-61.566197	10524.414	1.9
3334115556.09	15.732813	-61.552278	2010.498	2.35
3334111888.49	15.863574	-61.647538	5316.895	1.55
3334098988.09	15.607942	-61.350193	1955.078	1.59
3334092894.16	15.728332	-61.535472	16051.025	2.63
3334087845.14	15.731564	-61.566853	5537.109	2.21
3334008194.47	15.84166	-61.628994	9799.316	1.81
3333991164.98	15.921408	-61.579613	15754.395	1.83
3333943196.93	15.853637	-61.592628	3625.488	1.5
3333867203.87	15.928	-61.686333	-10	1.9
3333845639.71	15.843653	-61.630368	8085.449	1.89
3333799768.04	15.778614	-61.650053	6624.756	3.27
3333782873.55	15.813753	-61.633781	1911.621	2.76
3333759873.93	15.840165	-61.630709	9469.727	1.62
3333756487.84	15.840691	-61.630414	8226.562	2.17
3333756483.95	15.817991	-61.629838	2735.596	1.65
3333750514.43	15.8525	-61.615833	2510	1.43
3333691780.02	15.744527	-61.533246	15534.18	1.72
