sec	p0	p1	p2	mag
3608725763.56	999685.4638	6385150.4477	10000	1.3
3608709240.88	996340.4147	6386882.0082	10000	1.2
3608708913.3	994392.1534	6386011.7684	11000	1.2
3608708398.37	995207.0459	6385605.2566	10000	1.1
3608707590.1	997196.8788	6383919.9117	8000	1
3608688245.94	1001155.7746	6389335.7243	8000	1.4
3608661151.01	1000357.2757	6387740.4521	0	1.3
3608621077.83	991053.602	6379072.3956	0	1
3608593981.98	993807.4948	6383204.1825	0	0.8
3608591928.41	997637.3237	6388055.5369	11000	1.2
3608580847.61	994306.2584	6384450.8435	0	0.9
3608575088.8	998875.5394	6387113.5742	7000	1.4
3608574346.07	996656.6387	6383560.7071	8000	1
3608568446.79	997774.6749	6386838.7652	11000	1.3
3608517323.51	988555.5333	6393524.4348	5000	0.7
3608497974.55	992871.5172	6384494.8811	8000	0.7
3608494377.57	991678.2036	6382771.1902	0	0.8
3608493305.68	997609.8048	6383605.8627	7000	2.3
3608480956.12	990432.8312	6382157.384	0	0.7
3608480740.2	989720.3148	6380345.1697	10000	0.5
3608477862.04	993095.8125	6386507.0583	1000	0.6
3608459549.11	990524.9075	6383607.3034	0	0.5
3608405398.6	998473.3265	6387205.6195	10000	1.1
3608353747.9	990709.4821	6383059.8344	0	0.7
3608335932.24	996063.9532	6384311.1624	0	1
3608334298.06	991116.967	6382856.3235	12000	0.8
3608309364.88	991398.6369	6383647.8364	0	1
3608303963.56	995604.9833	6387292.1135	9000	1.2
3608273338.7	999891.3559	6389163.8746	5000	1.8
3608264169.98	1016047.4871	6384285.453	1000	1.4
3608254781.9	999388.8374	6388027.7492	10000	1.6
3608208358.53	998896.7161	6388337.8892	10000	2
3608206347.03	1018422.4097	6346696.5362	10000	1.8
3608206295.35	1015180.6665	6342640.2584	0	1.1
3608156086.42	1002036.4467	6384262.3296	10000	1.1
3608131989.37	1000045.3461	6385946.1377	8000	1.3
3608091531.23	980878.6098	6385725.4135	10000	1
3608058680.05	1000484.5195	6386745.6508	12000	1.4
3608040104.57	993707.2744	6383644.316	0	1.3
3608016914.06	991878.3855	6381890.8563	0	0.8
3608013887.39	993557.25	6381746.7743	0	0.8
3607952764.5	991162.4874	6385304.9325	10000	0.7
3607948978.5	994019.7911	6383770.1654	10000	0.9
3607918047.65	992569.3707	6384147.1612	6000	1.2
3607903948.31	992536.5239	6383144.7776	0	1.2
3607899608.49	992964.7969	6382497.5279	0	1
3607839708.1	991990.801	6382896.9389	0	1.2
3607834782.54	997266.7649	6387481.9098	11000	1.9
3607815369.37	1000061.2763	6385613.2661	12000	1.9
3607814667.53	1013563.0692	6375040.2339	0	1.1
3607812699.6	996980.7797	6386801.1046	11000	2.3
3607796287.63	990840.362	6381953.8543	0	0.8
3607717371.92	997482.5182	6382932.5638	0	1.4
3607690426.43	990345.8165	6380596.4897	0	0.9
3607686897.37	999393.9899	6389584.9296	11000	1.6
3607678621.7	992811.0877	6382379.1449	7000	0.7
3607677887.43	992983.7886	6380385.4828	10000	1
